Latitude,Longitude,CreatedDate
13.6873808,100.7537766,2026-04-22 12:28:41.6668834 +07:00
13.6873827,100.7537689,2026-04-22 12:28:46.1592807 +07:00
13.6873837,100.7537689,2026-04-22 12:28:51.7161721 +07:00
13.6873837,100.7537689,2026-04-22 12:28:56.1597976 +07:00
13.6873856,100.7537689,2026-04-22 12:29:01.1582539 +07:00
13.6873856,100.7537689,2026-04-22 12:29:06.7713271 +07:00
13.6873856,100.7537689,2026-04-22 12:29:11.2004019 +07:00
13.6873875,100.7537689,2026-04-22 12:29:16.1686170 +07:00
13.6873875,100.7537689,2026-04-22 12:29:21.1798272 +07:00
13.6873875,100.7537689,2026-04-22 12:29:26.1699002 +07:00
13.6873884,100.7537689,2026-04-22 12:29:31.1597155 +07:00
13.6873903,100.7537689,2026-04-22 12:29:36.1689400 +07:00
13.6873903,100.7537689,2026-04-22 12:29:41.1768714 +07:00
13.6873922,100.7537689,2026-04-22 12:29:46.6485555 +07:00
13.6873922,100.7537766,2026-04-22 12:29:51.1604374 +07:00
13.6873922,100.7537766,2026-04-22 12:29:56.7080138 +07:00
13.6873903,100.7537766,2026-04-22 12:30:01.1595681 +07:00
13.6873903,100.7537766,2026-04-22 12:30:06.7082037 +07:00
13.6873884,100.7537766,2026-04-22 12:30:11.1710227 +07:00
13.6873875,100.7537766,2026-04-22 12:30:16.6694672 +07:00
13.6873856,100.7537766,2026-04-22 12:30:21.1596359 +07:00
13.6873856,100.7537766,2026-04-22 12:30:26.7689290 +07:00
13.6873856,100.7537766,2026-04-22 12:30:31.1588716 +07:00
13.6873856,100.7537766,2026-04-22 12:30:36.1767130 +07:00
13.6873827,100.7537766,2026-04-22 12:30:41.1595735 +07:00
13.6873827,100.7537766,2026-04-22 12:30:46.6992072 +07:00
13.6873789,100.7537766,2026-04-22 12:30:51.1601465 +07:00
13.6873789,100.7537766,2026-04-22 12:30:56.1891541 +07:00
13.6873779,100.7537842,2026-04-22 12:31:01.1603774 +07:00
13.6873779,100.7537842,2026-04-22 12:31:06.7366108 +07:00
13.6873789,100.7537842,2026-04-22 12:31:11.1607198 +07:00
13.6873789,100.7537842,2026-04-22 12:31:16.1687922 +07:00
13.6873789,100.7537766,2026-04-22 12:31:21.7000425 +07:00
13.6873779,100.7537766,2026-04-22 12:31:26.1684386 +07:00
13.6873779,100.7537766,2026-04-22 12:31:31.7199444 +07:00
13.6873760,100.7537766,2026-04-22 12:31:36.1774004 +07:00
13.6873741,100.7537766,2026-04-22 12:31:41.8007542 +07:00
13.6873741,100.7537766,2026-04-22 12:31:46.1600365 +07:00
13.6873741,100.7537766,2026-04-22 12:31:51.1888425 +07:00
13.6873741,100.7537766,2026-04-22 12:31:56.2084297 +07:00
13.6873732,100.7537842,2026-04-22 12:32:01.7809524 +07:00
13.6873713,100.7537842,2026-04-22 12:32:06.1689972 +07:00
13.6873693,100.7537842,2026-04-22 12:32:11.7207295 +07:00
